ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey
0,xD5Vz,1A. Brand light · Start,gf66U,Open navigation,Cezarion iac,1A. Brand light · Start > App header,xD5Vz/PhA9J,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#667084,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c
1,xD5Vz,1A. Brand light · Start,SH3C0,Project,iac,1A. Brand light · Start > App header > Project picker,xD5Vz/PhA9J/EnJ2c,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
2,xD5Vz,1A. Brand light · Start,o1HvGa,Change project,iac,1A. Brand light · Start > App header > Project picker,xD5Vz/PhA9J/EnJ2c,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
3,xD5Vz,1A. Brand light · Start,t9hA1m,Slash command,Type / for a skill or workflow,1A. Brand light · Start > Task draft > Input hint,xD5Vz/ScGg7/W1XbH,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883
4,xD5Vz,1A. Brand light · Start,r0CYF,Attach,,1A. Brand light · Start > Task draft > Add context > Attach files button,xD5Vz/ScGg7/IrDvm/xMQH6,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4
5,xD5Vz,1A. Brand light · Start,Xkk0G,Template icon,Template,1A. Brand light · Start > Task draft > Add context > Template,xD5Vz/ScGg7/IrDvm/ujHJT,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419
6,xD5Vz,1A. Brand light · Start,dwyYQ,Open template picker,Template,1A. Brand light · Start > Task draft > Add context > Template,xD5Vz/ScGg7/IrDvm/ujHJT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
7,xD5Vz,1A. Brand light · Start,sgNfD,Skills,Skill,1A. Brand light · Start > Task draft > Add context > Add skill or workflow,xD5Vz/ScGg7/IrDvm/w9J4Js,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
8,xD5Vz,1A. Brand light · Start,t6t2zC,Open skill picker,Skill,1A. Brand light · Start > Task draft > Add context > Add skill or workflow,xD5Vz/ScGg7/IrDvm/w9J4Js,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
9,xD5Vz,1A. Brand light · Start,a8ivUy,Dictate icon,,1A. Brand light · Start > Task draft > Add context > Dictate,xD5Vz/ScGg7/IrDvm/t3JzB,lucide,mic,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-mic-47006fc57172.svg,lucide/mic/47006fc57172
10,xD5Vz,1A. Brand light · Start,M3Abm,Selected mode,Start,1A. Brand light · Start > In-flow composer controls > Run mode — Start selected > Start mode,xD5Vz/W3z9Pn/fjMEF/S44hLf,lucide,check,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#6D28D9,icons/lucide-check-eec82dfb4f14.svg,lucide/check/eec82dfb4f14
11,xD5Vz,1A. Brand light · Start,L2XJw8,Model symbol,MODEL Fable,1A. Brand light · Start > In-flow composer controls > Model picker full width,xD5Vz/W3z9Pn/GS8mo,lucide,cpu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#6D28D9,icons/lucide-cpu-78353ca31ba0.svg,lucide/cpu/78353ca31ba0
