import-desktop-light { x: 390, y: 469.75, width: 660, height: 310.5 }
import-error-desktop-light { x: 390, y: 453.75, width: 660, height: 342.5 }
add-step-desktop-light { x: 390, y: 404, width: 660, height: 442 }
delete-desktop-light { x: 390, y: 535.6015625, width: 660, height: 178.796875 }
overwrite-desktop-light { x: 390, y: 535.6015625, width: 660, height: 178.796875 }
yaml-desktop-light { x: 1104, y: 522.453125, width: 300, height: 589.75 }
filter-empty-desktop-light { x: 1104, y: 522.453125, width: 300, height: 453.25 }
import-mobile-light { x: 0, y: 52, width: 402, height: 329 }
import-error-mobile-light { x: 0, y: 52, width: 402, height: 361 }
add-step-mobile-light { x: 16, y: 198, width: 370, height: 458 }
delete-mobile-light { x: 16, y: 285.203125, width: 370, height: 283.59375 }
overwrite-mobile-light { x: 16, y: 301.203125, width: 370, height: 251.59375 }
yaml-mobile-light { x: 18, y: 336.71875, width: 366, height: 617.75 }
filter-empty-mobile-light { x: 18, y: 762.71875, width: 366, height: 481.25 }
import-desktop-dark { x: 390, y: 469.75, width: 660, height: 310.5 }
import-error-desktop-dark { x: 390, y: 453.75, width: 660, height: 342.5 }
add-step-desktop-dark { x: 390, y: 404, width: 660, height: 442 }
delete-desktop-dark { x: 390, y: 535.6015625, width: 660, height: 178.796875 }
overwrite-desktop-dark { x: 390, y: 535.6015625, width: 660, height: 178.796875 }
yaml-desktop-dark { x: 1104, y: 522.453125, width: 300, height: 589.75 }
filter-empty-desktop-dark { x: 1104, y: 522.453125, width: 300, height: 453.25 }
import-mobile-dark { x: 0, y: 52, width: 402, height: 329 }
import-error-mobile-dark { x: 0, y: 52, width: 402, height: 361 }
add-step-mobile-dark { x: 16, y: 198, width: 370, height: 458 }
delete-mobile-dark { x: 16, y: 285.203125, width: 370, height: 283.59375 }
overwrite-mobile-dark { x: 16, y: 301.203125, width: 370, height: 251.59375 }
yaml-mobile-dark { x: 18, y: 336.71875, width: 366, height: 617.75 }
filter-empty-mobile-dark { x: 18, y: 762.71875, width: 366, height: 481.25 }
manage-current-light { x: 38, y: 296.1875, width: 326, height: 880.75 }
manage-available-light { x: 38, y: 296.1875, width: 326, height: 900.75 }
manage-updating-light { x: 38, y: 296.1875, width: 326, height: 818.359375 }
manage-error-light { x: 38, y: 296.1875, width: 326, height: 923.9375 }
manage-disabled-light { x: 38, y: 265.1875, width: 326, height: 923.9375 }
manage-filter-empty-light { x: 38, y: 296.1875, width: 326, height: 655.5 }
manage-current-dark { x: 38, y: 296.1875, width: 326, height: 880.75 }
manage-available-dark { x: 38, y: 296.1875, width: 326, height: 900.75 }
manage-updating-dark { x: 38, y: 296.1875, width: 326, height: 818.359375 }
manage-error-dark { x: 38, y: 296.1875, width: 326, height: 923.9375 }
manage-disabled-dark { x: 38, y: 265.1875, width: 326, height: 923.9375 }
manage-filter-empty-dark { x: 38, y: 296.1875, width: 326, height: 655.5 }
